gentau_vis_px,gentau_vis_py,gentau_vis_pz,gentau_vis_e,genmet_px,genmet_py,boson_mass
-54.466354,-268.51068,-25.286806,275.14362,62.057198,280.85895,916.73157
-168.82924,-66.988754,-193.9114,265.6924,285.47266,125.04015,1010.22736
-20.864582,-126.87053,129.94174,182.80136,18.072834,156.60748,1011.4106
-92.43375,-63.856445,-78.71574,137.17891,311.4108,204.15053,998.47614
14.410594,171.54257,-697.1719,718.11084,-52.705555,-304.63745,1011.45984
-253.88676,-131.17087,-505.41873,580.61383,260.42697,122.06625,1010.0354
-212.48915,3.1011102,-112.35507,240.38496,-184.12946,23.721685,108.68942
-76.62156,-92.98597,-335.1986,356.1957,108.57998,127.40228,969.3343
-41.306133,-69.94787,259.19165,271.62375,125.49712,219.14618,1015.3891
-10.629002,101.82605,-479.41226,490.22202,-71.71769,135.45158,80.56771
-86.542206,-347.54318,-304.71155,470.23926,69.06207,341.47235,948.6798
193.82147,-295.60254,-434.82144,560.3725,-195.79553,343.70972,1006.77356
286.9233,-276.57642,-118.8178,415.85715,-291.16522,283.30746,964.931
250.19685,197.42543,-267.98267,416.40152,-258.1956,-195.50645,836.56354
-28.043753,181.52824,309.13373,359.58676,14.534953,-217.45819,917.6021
-279.24744,8.0249815,1028.6495,1065.9099,440.46005,-4.2336655,1234.6202
-32.049988,94.82573,56.4269,114.9049,69.12509,-186.72762,1002.31494
104.81675,-67.985634,32.584995,129.11389,-215.7435,137.04155,999.6729
147.91995,-195.38338,-13.132723,245.4133,-312.53336,369.3075,1134.2809
-146.30037,208.7119,147.19162,294.3295,186.73102,-268.45612,977.0972
-244.8394,150.57652,19.80666,288.11795,282.03146,-179.03065,1024.9973
-57.50267,70.14335,-71.78902,115.67337,247.02597,-295.797,1013.4969
30.737148,143.95238,-161.42155,218.45822,175.19162,-222.6912,587.5949
-205.0252,136.88548,-560.3034,612.13794,207.12492,-119.70643,912.3061
-71.74354,-260.4425,-22.930664,271.11487,105.232925,386.67645,1015.28864
-134.49477,339.0008,6.585296,364.76535,139.17592,-344.23376,983.3407
-162.17934,147.55879,-429.18372,481.94858,199.66743,-166.92812,993.33185
110.30485,4.1954317,32.192825,114.9833,-360.31345,-0.422967,1019.6917
-266.13354,10.979868,142.88864,302.2661,260.49728,-5.190395,795.7882
114.88619,21.29114,471.34094,485.6073,-392.62537,-81.29533,994.45264
44.25734,-87.01764,73.31097,122.08718,-200.19365,384.51193,1013.99304
13.152342,322.62073,-1130.6217,1175.8242,6.4983134,-346.3682,900.1138
-10.706639,-116.56654,-103.85196,156.48528,16.092037,291.5932,1065.0737
281.99323,-78.08098,-160.12498,333.55185,-277.20285,82.78353,993.2046
7.6889105,-151.71454,157.1181,218.54637,2.3069146,199.17052,991.4832
-118.911736,92.32247,229.94377,274.84146,206.34517,-183.38683,973.2823
-58.322517,-152.51941,-117.270256,201.03735,72.43238,182.61841,777.9614
-157.41898,-41.32096,-146.96516,219.28734,186.12141,51.243187,1046.571
131.81,147.13023,193.50304,276.5224,-202.27843,-236.00998,991.8672
-211.6779,-138.62167,-226.53542,339.6201,254.7465,175.72926,988.5651
112.86178,26.826614,-74.158195,137.68408,-465.90784,-122.11926,1004.14166
45.01065,-190.87192,38.12489,199.77881,-64.75358,183.41457,1006.305
-237.92305,-12.900713,-45.626488,242.6017,326.68222,33.157986,1048.9413
219.8811,278.21744,103.43489,369.39334,-222.5972,-278.6633,1017.0793
49.453552,82.749084,-8.984461,96.81841,-98.92741,-154.69214,977.0347
-187.45445,217.32939,278.4319,399.86945,224.88333,-256.64615,1005.1533
-5.9775577,150.29353,85.960014,173.24266,22.14939,-318.89392,979.6262
-362.5006,230.26004,185.35515,467.74237,357.2099,-222.50603,983.98157
-307.5871,-23.032581,1003.32007,1049.6626,299.60797,25.366734,1008.414
71.5269,100.96877,15.818488,124.74387,-119.92362,-174.32248,995.13544
161.33757,9.196152,-645.49603,665.4168,235.88432,-33.455494,76.911476
-181.77708,58.229115,-376.13837,421.7981,221.95544,-73.174835,998.0207
-245.39513,-28.274998,-127.61569,278.036,231.8418,21.94342,933.45514
67.34804,-70.08487,99.56901,139.14616,-364.25327,281.90793,981.19275
-125.36326,78.5314,518.3933,539.087,146.2803,-82.73074,1000.52014
41.426956,-90.51639,11.403434,100.19714,-101.26002,270.7929,961.634
-61.045826,-105.39285,44.435852,129.64879,97.496445,167.82089,1019.2235
-79.43668,60.435905,-101.32628,142.23116,125.53678,-90.03555,1005.7613
-104.80916,182.9542,-94.42064,231.02483,114.86223,-179.5937,1027.8158
235.90707,22.407757,-449.1663,507.8431,-293.52423,-45.66784,1083.9066
10.537756,-170.86723,-495.3254,524.07434,-15.133898,223.89806,974.9281
-28.503654,-83.34694,56.737587,104.77759,119.8494,335.81223,1042.1638
278.27353,132.41414,391.999,498.63126,-299.10104,-137.39374,779.2312
113.30297,-179.63974,525.97784,567.23975,-143.12744,224.2914,1000.4208
-98.29554,-140.86943,-182.02678,250.2798,179.04745,247.19395,992.7386
288.98273,41.941128,-663.23456,724.6725,-284.54086,-35.72154,967.60394
-234.348,158.12923,-92.03938,297.31354,239.09073,-162.2998,998.69525
-7.4015703,-151.41272,-0.73166585,151.59535,11.32496,254.81857,964.1467
78.39614,-241.54062,-235.0934,346.0589,-97.782776,299.3053,1002.23267
-76.83339,-28.410595,-5.245806,82.08575,217.71266,81.14057,815.68945
113.25936,200.35551,-441.20306,497.62454,-108.68628,-238.1351,999.2332
56.878098,128.07947,-125.52156,188.13599,-66.904305,-170.95343,1013.75714
70.952965,194.40143,206.5594,292.39194,-73.39717,-261.335,1053.057
153.44408,147.15137,308.87485,374.96973,-419.75204,-145.25784,994.7887
8.745751,107.84402,-188.97191,217.75491,-24.881536,-181.05812,938.181
380.5869,76.794495,581.3891,699.1117,-440.49725,-87.1309,1003.368
55.1326,-298.22324,-112.17091,323.3559,-63.7937,355.93918,976.49255
-153.62819,68.43773,174.82913,242.5914,357.4724,-88.13877,1002.94244
318.0477,-172.17978,-358.77026,509.42746,-338.02393,144.53911,999.867
-47.615913,-95.2791,109.17703,152.52875,-54.483177,-110.41632,78.6547
-93.83534,0.9744836,182.72182,205.41003,134.91344,-13.169861,81.53565
-47.01956,-127.63555,-306.09372,334.95532,83.60901,179.2109,972.29974
179.36029,150.91599,73.45411,245.64456,-206.34381,-184.97232,994.97894
-99.725006,107.46145,8.251143,146.83713,123.635185,-116.67488,1000.10474
93.82578,-236.70016,22.388515,255.6003,-122.31194,275.29538,1008.6058
-109.039536,-60.236908,268.28812,295.7983,-316.0468,-50.51697,79.94334
-214.7943,152.40573,108.04191,284.6703,254.1194,-164.44014,946.63245
-128.51639,402.17184,737.0551,849.4168,119.40776,-416.20987,954.7489
-122.58239,8.905193,-202.43666,236.8256,264.6086,-26.623991,927.97955
89.862785,319.1779,-266.6314,425.4905,-103.16807,-333.15176,983.17773
