tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
107.01382,-164.36774,251.00958,319.358,-156.87453,-330.78833
-491.8671,-289.7957,1833.8707,1922.0381,50.858875,-152.4782
-72.73582,34.570568,49.939503,96.5708,202.24376,-136.1317
-83.53424,4.7518954,-139.13054,163.01395,-283.68246,-19.80792
-139.76524,17.885693,-18.506733,142.51936,-262.7458,0.23633093
21.843424,-131.89462,5.930539,135.37457,-222.11467,282.7638
310.17188,294.47092,86.890305,437.83337,34.26738,124.205795
97.78116,7.6581655,-62.35849,116.76932,-282.57007,141.79974
-9.710798,163.24084,1243.2523,1254.0435,-148.08269,125.26024
78.59568,72.201164,37.338776,113.462006,168.53294,-144.9432
-109.26986,-62.687843,-138.99548,189.80373,-208.64326,-77.40045
-206.77704,186.49486,808.97186,856.0465,-112.43138,-56.79985
-80.512726,158.83205,-1416.7811,1428.3159,163.43935,683.5476
60.717304,55.56107,-27.356888,87.05505,272.29965,20.863306
-74.188446,-79.772934,934.3771,940.7214,109.18358,60.807556
-81.531906,18.413937,378.94196,388.2429,-229.32713,-161.16774
-125.81242,-295.14175,402.06012,515.38635,-164.90862,232.71605
198.46362,-80.03216,-69.99616,226.13058,163.67412,-68.581184
187.49707,604.33417,-637.81665,901.1474,-70.84527,-97.53221
-114.97905,114.45949,432.9419,462.57434,-158.10681,118.61506
90.27259,57.70898,-241.6706,264.48114,-77.16469,-117.46789
-14.902178,134.37744,-79.65684,157.08244,-79.441536,-167.52335
637.4106,228.40479,1061.771,1266.5161,-443.09036,-130.89398
-230.20013,-105.25288,-110.013725,276.79797,-198.69063,-25.683882
26.648392,-88.1106,-102.466866,140.3912,408.38788,-123.541374
9.566592,-111.02254,-51.55076,124.35794,269.0486,-72.83985
-32.142857,-255.86348,573.30566,628.69806,-106.36044,-104.05686
-157.84753,82.49927,99.70347,204.68648,-115.40907,74.16831
-144.44472,112.69908,91.924034,208.82726,-219.72995,-472.02417
100.064186,-62.58804,282.89636,307.03223,-17.633173,146.91513
-160.48875,106.9526,551.2335,584.2927,-221.40883,75.352425
-14.263732,79.792305,102.26117,131.09454,136.681,-487.15063
173.79608,-54.75036,-113.91088,215.59439,179.44778,25.926838
284.33328,227.68773,-336.67624,496.53708,103.15771,66.74479
60.016235,-53.798176,-106.629456,133.89252,186.88313,126.94469
83.85818,8.851891,-9.123439,86.895805,310.20938,32.68606
-401.7696,-64.93496,-455.64603,612.5391,-150.75452,-39.536366
78.687294,15.4108,14.916754,82.07412,69.65496,-112.927376
-405.82758,-564.6404,-991.3677,1224.8019,389.12726,514.32825
-3.2199652,-113.4234,679.6623,689.74945,-312.71692,174.73994
-183.61443,-23.219194,9.323404,185.48099,243.88353,87.468
-339.33957,240.52533,-473.8815,632.76495,-142.19823,69.07588
69.40273,106.963974,-79.90448,152.37311,489.81607,121.97757
144.07246,-114.79547,829.7975,850.2509,-12.26515,272.35104
304.07895,-56.42102,-280.55972,424.14896,370.1655,-59.46414
106.291466,-6.0718136,266.5399,288.0531,101.041214,68.68943
513.5173,-9.404984,-225.9189,562.0544,141.25122,63.72905
-262.02264,191.96994,-1250.5984,1292.5132,-16.307686,180.56642
-78.76313,-173.29146,-572.02295,603.1096,-74.52447,-120.10674
152.35988,40.97141,-220.94957,273.18845,124.362114,127.34488
-85.11212,-57.091522,-675.9684,683.70764,151.69926,-33.3984
-380.555,-367.81015,357.24765,641.1905,-27.6316,-203.52449
188.03435,59.606895,-1050.9122,1069.4244,218.43593,71.89441
204.83936,-101.49136,306.46567,383.91464,132.03018,-206.06592
200.80501,320.95462,504.77155,633.5891,-392.0041,-50.23934
-93.1892,176.33673,-86.33866,217.99791,42.792,119.25956
108.01772,-116.71893,466.11954,492.7234,-51.12118,-122.4547
-250.90958,-326.76016,-1564.1327,1617.9258,-114.06984,155.66792
-186.25453,-92.396515,-61.235264,217.29225,-127.139206,-69.92085
11.573829,107.18855,-47.852406,118.9691,75.471886,99.30293
-139.1967,-2.393377,-8.343158,141.59267,-125.03635,-41.829315
227.66809,580.6294,352.1651,720.86334,-116.445404,-330.41003
239.16357,80.114,79.207085,265.4341,188.83961,-10.860416
125.94871,281.88754,402.63824,508.0504,178.77719,-252.41994
68.00792,169.74792,-117.58517,217.988,-106.13527,130.99164
-34.80917,-82.5758,64.318245,114.29876,299.81955,-13.034814
-212.3891,-461.7106,682.444,853.4104,174.5735,356.83905
0.5943493,114.09585,229.77287,257.1669,57.32112,293.7235
-98.30913,72.84311,359.8874,380.16388,-93.941795,82.31458
141.66925,-8.951706,564.62805,582.2804,-410.23587,573.70917
84.57685,17.980108,57.563896,104.8824,106.89779,56.762585
69.77619,-76.83453,-116.59203,156.59842,-53.864483,581.5644
172.29562,-178.82098,-899.15625,933.0811,159.70366,39.05931
-47.49303,161.64001,-68.83095,182.86775,-80.79321,216.06752
-656.3853,-320.08798,-159.38052,750.1495,-144.43634,-1.8382623
436.24744,-4.016676,-460.30713,635.1096,-131.63048,124.286125
-78.82122,-79.933044,-458.5547,472.12808,-206.93575,-92.00563
255.03336,-110.30853,-1431.3097,1458.1392,-278.40314,416.23944
-132.19073,110.041145,-1413.5278,1424.0718,152.55705,-121.20582
365.46085,309.88452,-235.85587,534.84033,-46.0837,417.37677
-92.36484,-17.830826,-23.480963,98.394394,95.767715,-88.834404
-143.3671,245.7555,-686.44147,743.34186,29.087498,117.03587
-140.04057,18.700254,50.01787,151.98645,-32.13324,-123.93466
464.997,148.91856,-378.35028,625.5943,-117.58874,47.6244
-52.148426,-66.27689,-4.91041,85.2547,280.80252,-200.19443
110.35638,-35.558,20.859192,119.94775,-208.09415,-13.38756
132.92415,82.37138,120.082054,197.77437,-291.63086,35.747265
194.95699,-313.13754,329.59988,496.34128,29.253819,-151.44052
32.49391,-158.90462,89.22991,187.28229,-117.60109,94.17163
-89.657875,-55.884068,-316.5828,334.30038,144.39769,-29.234829
-18.68092,136.42708,-97.11153,169.1135,28.180386,-176.33546
-130.8209,34.977795,-167.41087,216.2466,149.16948,-0.18860318
-142.23228,447.80392,82.19442,479.4252,-7.2250786,298.5354
87.03843,-11.045815,17.44115,90.59527,-28.627735,-179.78288
52.47451,70.88148,-580.7683,587.45984,267.72214,169.43217
-87.59941,-15.614477,-124.87701,154.35878,-301.29572,-97.65666
122.527664,33.8937,584.3136,598.05505,-93.072754,-93.1596
249.9123,-127.4591,-410.85168,497.8536,145.93451,63.47008
-147.82977,-186.50076,1715.5083,1732.1473,-143.96848,9.543478
-83.079216,-28.02878,30.910345,93.45239,-98.228836,106.850174
84.104164,59.439133,-195.995,222.50577,-350.45493,27.561121
51.584072,89.25941,5.5136485,104.32897,29.136091,662.8356
-84.3686,22.015047,71.73851,113.642746,301.16083,251.31015
43.20081,67.75177,30.050413,87.264694,186.15086,-85.90588
-29.340221,119.28473,-221.15567,253.0939,-34.3407,-240.89343
-224.52997,-426.35413,465.16522,670.02625,-121.749054,-205.76399
-106.74307,-128.24791,119.20732,205.20435,100.01793,72.939156
-42.166927,84.905624,76.36563,122.07207,237.68387,260.22043
118.35775,22.180885,-525.8931,540.4605,-450.52585,-39.025585
121.22859,-51.71331,63.30347,147.82072,184.87657,11.350924
-123.57228,38.23247,336.46484,360.79276,278.0116,-426.28815
23.219166,83.578964,56.68111,104.20734,236.22075,-147.8656
221.32664,203.30235,-728.71173,788.40356,52.235146,-158.42696
242.81696,78.1966,690.84906,737.8143,-55.243866,-188.73766
-73.32053,45.578556,-83.573,120.79104,140.81406,-79.55478
-140.77643,154.67622,594.0819,632.089,575.04663,291.60538
192.08327,-30.11525,-90.747215,216.00508,140.04039,225.74742
-59.369015,-55.063576,-129.69537,154.00208,-24.057398,144.27388
134.16046,16.842049,-777.0937,789.18066,131.61021,-17.730118
467.63193,-12.249028,310.84708,562.7567,323.37933,-443.0757
73.025055,-80.07225,-21.245316,111.55048,-259.2648,83.792656
-11.458547,106.19457,61.674637,123.679504,-406.93317,219.16234
-7.67252,92.45911,367.51346,379.22913,141.70587,29.901226
-188.31035,-30.383709,-9.25969,193.71587,266.9414,280.1598
140.0065,133.23297,135.09854,236.44571,137.94617,71.48232
-116.71843,-15.299991,48.62646,127.583244,-86.95109,-282.07285
