tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
-242.47743,-50.47831,-457.6231,520.35095,243.86249,43.016525
-228.67613,141.85242,111.543724,291.30658,211.29889,-152.83917
338.94687,208.03438,-346.04797,527.1741,-340.40155,-200.88763
114.00938,415.2805,208.56142,478.49664,-114.84355,-390.3531
355.80188,160.15253,-277.06458,478.54965,-333.02856,-144.37642
-148.87961,118.21278,59.523937,199.23866,117.93999,-116.14555
-21.014212,-90.90139,396.22733,407.06662,28.146677,243.72943
287.6913,-124.97714,-111.93286,333.0384,-293.7264,123.732765
4.3400164,-373.06897,549.1629,663.91205,-0.6310283,388.98456
-210.14197,-125.74255,-134.16537,279.23325,207.73778,120.18339
-131.14053,-114.535385,-163.13008,239.2011,152.89688,126.84423
71.75789,-350.52573,-367.205,512.697,-84.71139,335.39172
-176.97404,145.63483,351.0386,419.23434,182.55904,-126.284195
-65.010956,122.178345,-163.4014,214.1556,74.860504,-132.1649
-386.44434,108.3181,-1196.4993,1262.0762,389.29974,-114.0769
24.098274,-347.71436,-162.51646,384.57556,-8.162505,344.3444
-35.429726,224.51794,34.51486,229.90646,25.71499,-220.09302
42.299095,189.44345,64.95481,204.68861,-41.840282,-185.17079
-285.04153,-247.87383,1681.008,1722.9285,288.21225,251.40721
-158.3368,230.86894,8.497772,280.0795,149.14543,-233.84647
-125.76262,-184.20424,-77.53516,236.14392,132.32527,162.29843
288.14346,303.39517,-433.0338,602.2986,-285.58536,-302.5803
-146.17786,-159.26917,70.37574,227.3555,135.77905,156.35841
239.07762,-172.22462,-39.55923,297.30353,-237.32028,163.64297
-119.952225,-152.84865,556.39935,589.34894,125.67856,147.67216
137.33105,-353.74805,233.57935,445.63,-140.26265,322.15228
-195.37259,168.49779,-611.66846,663.8631,191.98056,-166.93709
163.38513,73.312004,558.62775,586.6301,-399.74118,-354.15628
16.394894,119.42562,24.51222,123.012764,-32.35184,-151.89761
-0.7514474,-141.22928,182.89488,231.07996,15.958318,132.6867
-258.61234,-208.38904,-407.41263,525.65393,248.54008,155.0024
202.44745,-278.24826,-568.84314,664.88715,-179.80861,258.57108
211.80635,126.879326,-95.13842,264.60074,-209.07127,-123.44807
-59.702408,512.62537,290.64548,592.30396,46.69322,-523.9607
-124.83056,319.2355,-243.8053,420.63644,123.3345,-317.16602
183.68533,291.64194,293.12866,452.4809,-171.93687,-291.90775
-101.31518,-390.34656,-685.4774,795.31256,99.300385,358.92584
148.58986,-110.62231,-404.8918,445.38547,-163.6654,123.016815
-0.6877487,-161.5604,-165.04185,230.9582,-0.017215176,160.92793
74.72709,-238.65181,-448.80692,513.82184,-96.87829,212.40157
-198.27489,-311.72427,811.2523,891.52716,196.15215,306.35406
315.2122,-116.840614,670.27954,749.8659,-313.596,114.27928
-34.641777,-265.9826,-93.962845,284.2743,56.525944,278.58344
-354.05295,-185.38339,-321.1821,512.7178,327.88513,234.2126
230.88591,-196.6398,1490.935,1521.533,-236.19101,206.82509
-31.00724,385.46838,-282.08948,478.66672,13.680822,-379.40628
274.88632,134.7478,202.50339,367.07758,-264.4975,-135.79749
244.74222,-144.28015,60.272263,290.42816,-222.9718,160.83719
141.79178,-100.14274,83.53824,192.64812,-144.27318,94.7567
162.98581,-138.9032,-556.5469,596.3271,-151.62843,126.54858
-110.1964,-402.3085,472.65408,630.4268,117.188644,389.8014
-162.40509,3.9672914,-121.530624,202.88141,168.42154,-13.881107
112.23922,63.09612,-104.49579,165.82567,-111.246346,-68.82293
237.68777,-123.5966,-19.778622,268.6345,-230.92802,122.48415
176.55112,-127.211914,99.82748,239.42264,-178.5764,125.01834
148.74844,14.80095,-625.79333,643.4424,-144.46906,-18.371283
274.57727,-105.601944,-239.22636,379.17505,-285.09436,104.22421
-78.24142,-329.59616,136.21611,365.22638,75.18161,317.6147
189.5088,263.46356,-40.225674,332.01013,-193.25816,-262.18738
-427.6819,7.9220967,499.9096,657.9937,428.0717,31.597734
-56.565186,338.57422,179.61983,387.42236,58.107616,-340.7445
-157.59488,8.254276,138.04411,209.66754,145.64003,13.312402
16.023306,231.4926,74.35091,243.6764,9.041626,-217.77837
